City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Labrador City,52.9463,-66.9114,39.11,52,75,11.5,CA,1684189433
1,Pointe-Noire,-4.7761,11.8635,78.87,94,20,5.75,CG,1684189471
2,Okhotsk,59.3833,143.3,39.96,74,99,12.84,RU,1684189471
3,Waitangi,-43.9535,-176.5597,57.81,89,43,8.01,NZ,1684189472
4,El Colomo,19.05,-104.25,84.18,53,1,8.75,MX,1684189472
5,Gondiā,21.45,80.2,90.18,23,78,4.81,IN,1684189472
6,Samālūţ,28.3121,30.7101,76.87,37,75,12.68,EG,1684189472
7,Jamestown,42.097,-79.2353,65.84,19,0,9.22,US,1684189355
8,College,64.8569,-147.8028,64.72,28,75,14.97,US,1684189473
9,Nueva Palestina,15.8,-92.75,84.58,53,100,2.77,MX,1684189474
10,Ilulissat,69.2167,-51.1,33.82,75,40,6.91,GL,1684189408
11,Feira de Santana,-12.2667,-38.9667,73.8,87,33,6.29,BR,1684189474
12,Edinburgh of the Seven Seas,-37.0676,-12.3116,60.33,89,100,6.29,SH,1684189337
13,Lijiang,26.8688,100.2207,45.9,95,95,4.25,CN,1684189475
14,Taulaga,-11.0553,-171.0883,83.52,73,5,8.84,AS,1684189475
15,Aasiaat,68.7098,-52.8699,29.43,75,100,8.3,GL,1684189475
16,Kaliua,-5.0606,31.7936,69.22,71,48,3.69,TZ,1684189475
17,Lüderitz,-26.6481,15.1594,62.33,47,0,3.8,NA,1684189476
18,Puerto Natales,-51.7236,-72.4875,42.48,93,96,4.45,CL,1684189476
19,Arrondissement du Havre,49.5833,0.3333,46.8,87,0,3.44,FR,1684189476
20,Verkhovazh'ye,60.7472,42.0465,50.4,64,78,4.25,RU,1684189476
21,Port Alfred,-33.5906,26.891,57.79,79,10,6.33,ZA,1684189476
22,Richards Bay,-28.783,32.0377,62.92,81,74,7.14,ZA,1684189477
23,Ust-Tsilma,65.441,52.1498,43.18,98,82,2.1,RU,1684189477
24,Blackmans Bay,-43.0167,147.3167,47.52,68,39,11.18,AU,1684189477
25,Bakanas,44.8081,76.2772,55.45,34,11,19.46,KZ,1684189477
26,Invercargill,-46.4,168.35,47.01,95,32,3.0,NZ,1684189334
27,Khovd,48.0056,91.6419,38.28,62,99,2.51,MN,1684189478
28,Hithadhoo,-0.6,73.0833,83.14,80,98,17.58,MV,1684189384
29,Adamstown,-25.066,-130.1015,75.56,85,1,21.59,PN,1684189478
30,Howrah,22.5892,88.3103,77.0,83,40,3.44,IN,1684189365
31,Argos,37.6333,22.7333,71.78,57,77,2.55,GR,1684189478
32,Ust-Nera,64.5667,143.2,35.22,87,97,5.37,RU,1684189479
33,Vorkuta,67.5,64.0,26.04,92,98,13.98,RU,1684189479
34,Port-aux-Français,-49.35,70.2167,42.06,74,53,28.05,TF,1684189479
35,Poços de Caldas,-21.7878,-46.5614,52.14,76,34,3.42,BR,1684189479
36,Chulakkurgan,43.765,69.1814,60.58,46,78,1.48,KZ,1684189479
37,Whitehorse,60.7161,-135.0538,64.09,21,20,4.61,CA,1684189410
38,Vorgashor,67.5833,63.95,25.05,93,98,13.78,RU,1684189296
39,Djibouti,11.5,42.5,80.53,67,2,8.05,DJ,1684189480
40,Udachny,66.4167,112.4,34.45,80,95,2.04,RU,1684189346
41,Longyearbyen,78.2186,15.6401,21.04,68,75,21.85,SJ,1684189480
42,Rémire-Montjoly,4.9167,-52.2667,80.64,83,40,4.61,GF,1684189434
43,Isafjordur,66.0755,-23.124,32.59,73,71,7.05,IS,1684189481
44,Bilibino,68.0546,166.4372,22.91,81,74,1.99,RU,1684189481
45,Ushuaia,-54.8,-68.3,42.46,75,75,26.46,AR,1684189481
46,Kingston,17.997,-76.7936,86.23,74,20,17.27,JM,1684189401
47,Grytviken,-54.2811,-36.5092,33.44,88,91,7.34,GS,1684189082
48,Bakchar,57.0186,82.0711,38.16,59,100,4.9,RU,1684189482
